id,objective,theta(0),theta(1)
0.0,20.840139255000015,3.7100000000000004,4.473000000000001,
1.0,4.57300026990206,2.0050099999999995,2.9453129999999996,
2.0,1.7603883889594947,2.4559558100000003,3.7429453530000005,
3.0,1.0918095650134148,2.0887311706099996,3.6032209485929996,
4.0,0.8091459340573527,2.0665901535694102,3.8092823542110335,
5.0,0.6285417528063864,1.9301291629178718,3.8605283093634686,
6.0,0.4961845796790171,1.8569059139763762,3.9557742513565284,
7.0,0.3960695291495509,1.7749339958383001,4.019144413690415,
8.0,0.31984336975131605,1.7104192181265288,4.082256721499836,
9.0,0.26172842489539394,1.651304030893062,4.134324359171758,
10.0,0.2174095600883949,1.6007668629897112,4.180991169547459,
11.0,0.18360984474690478,1.556205622082014,4.221276278004572,
12.0,0.15783225997398648,1.517457631481724,4.256641464407159,
13.0,0.13817276457321168,1.483553166868007,4.2874537972242095,
14.0,0.12317927563528355,1.4539700578091501,4.314390642170737,
15.0,0.11174435697523416,1.4281249127751805,4.337903569813139,
16.0,0.10302341365891224,1.405558224850277,4.3584418510878145,
17.0,0.09637230796530312,1.38584910126976,4.37637629339122,
18.0,0.09129978250839112,1.3686376655444592,4.392039175303862,
19.0,0.08743117543759953,1.353606619221905,4.40571736143699,
20.0,0.08448074753028738,1.340480048061268,4.4176626723102945,
21.0,0.08223057720360144,1.329016530862895,4.428094513409564,
22.0,0.08051446460632228,1.319005415810843,4.437204692483507,
23.0,0.0792056559301012,1.3102626684786434,4.445160637378684,
24.0,0.07820748124525363,1.3026275989950225,4.452108594223996,
25.0,0.07744621436219272,1.2959598653373892,4.458176268187679,
26.0,0.07686562734065966,1.2901369106429788,4.463475189379414,
27.0,0.07642283743731157,1.2850517038838625,4.468102755572597,
28.0,0.0760851397430203,1.2806107751544225,4.472144025311807,
29.0,0.07582759156527862,1.2767324965998883,4.475673280234151,
30.0,0.07563117013575979,1.2733455824324513,4.4787553908644515,
31.0,0.07548136756944979,1.2703877784851307,4.481447008814021,
32.0,0.07536711929761847,1.267804717992706,4.483797608149706,
33.0,0.07527998682760871,1.2655489222634972,4.485850394739692,
34.0,0.07521353446725042,1.2635789279930436,4.487643100421881,
35.0,0.07516285397814358,1.2618585251321284,4.489208676540743,
36.0,0.07512420204821624,1.2603560913189704,4.490575899620634,
37.0,0.07509472380691518,1.2590440106346918,4.491769900300383,
38.0,0.07507224196158913,1.2578981660011659,4.492812625254514,
39.0,0.0750550959804533,1.2568974958900063,4.493723240590333,
40.0,0.07504201944403693,1.2560236071950923,4.4945184841361465,
41.0,0.07503204650616278,1.2552604371527556,4.495212973095734,
42.0,0.07502444055557617,1.254593958095514,4.495819472724092,
43.0,0.07501863980908972,1.2540119196124766,4.496349130962887,
44.0,0.07501421581771388,1.2535036233771242,4.496811683348422,
45.0,0.0750108418209814,1.253059726503631,4.497215631958476,
46.0,0.07500826861208801,1.252672069817249,4.497568401687197,
47.0,0.0750063061312282,1.2523335278822407,4.497876476720515,
48.0,0.0750048094275855,1.2520378780307477,4.498145519720602,
49.0,0.07500366795311761,1.2517796859852452,4.498380475910058,
50.0,0.07500279739736904,1.251554205972237,4.498585663969016,
51.0,0.0750021334602128,1.251357293491191,4.498764855415883,
52.0,0.07500162710258138,1.2511853291353512,4.498921343930824,
53.0,0.0750012409243884,1.251035152064186,4.499058005896208,
54.0,0.07500094640212347,1.250904001904645,4.499177353266776,
