id,objective,theta(0),theta(1)
90.0,0.07500000005495006,1.2500068883672582,4.499993731547695,
91.0,0.07500000004190821,1.2500060156351296,4.49999452573876,
92.0,0.0750000000319617,1.2500052534751203,4.499995219308584,
93.0,0.07500000002437576,1.2500045878781283,4.499995825005528,
94.0,0.07500000001859042,1.2500040066099558,4.499996353962779,
95.0,0.07500000001417802,1.2500034989864357,4.499996815902991,
96.0,0.07500000001081283,1.2500030556770465,4.499997219316987,
97.0,0.07500000000824672,1.250002668533412,4.4999975716198355,
98.0,0.07500000000628945,1.2500023304395274,4.499997879287141,
99.0,0.07500000000479673,1.2500020351809593,4.499998147974071,

